Mês/Ano,%
Jan/18,73.59%
Feb/18,73.06%
Mar/18,72.54%
Apr/18,72.02%
May/18,71.50%
Jun/18,70.96%
Jul/18,70.39%
Aug/18,69.92%
Sep/18,69.38%
Oct/18,68.89%
Nov/18,68.40%
Dec/18,67.86%
Jan/19,67.37%
Feb/19,66.90%
Mar/19,66.38%
Apr/19,65.84%
May/19,65.37%
Jun/19,64.80%
Jul/19,64.30%
Aug/19,63.84%
Sep/19,63.36%
Oct/19,62.98%
Nov/19,62.61%
Dec/19,62.23%
Jan/20,61.94%
Feb/20,61.60%
Mar/20,61.32%
Apr/20,61.08%
May/20,60.87%
Jun/20,60.68%
Jul/20,60.52%
Aug/20,60.36%
Sep/20,60.20%
Oct/20,60.05%
Nov/20,59.89%
Dec/20,59.74%
Jan/21,59.61%
Feb/21,59.41%
Mar/21,59.20%
Apr/21,58.93%
May/21,58.62%
Jun/21,58.26%
Jul/21,57.83%
Aug/21,57.39%
Sep/21,56.90%
Oct/21,56.31%
Nov/21,55.54%
Dec/21,54.81%
Jan/22,54.05%
Feb/22,53.12%
Mar/22,52.29%
Apr/22,51.26%
May/22,50.24%
Jun/22,49.21%
Jul/22,48.04%
Aug/22,46.97%
Sep/22,45.95%
Oct/22,44.93%
Nov/22,43.81%
Dec/22,42.69%
Jan/23,41.77%
Feb/23,40.60%
Mar/23,39.68%
Apr/23,38.56%
May/23,37.49%
Jun/23,36.42%
Jul/23,35.28%
Aug/23,34.31%
Sep/23,33.31%
Oct/23,32.39%
Nov/23,31.50%
Dec/23,30.53%
Jan/24,29.73%
Feb/24,28.90%
Mar/24,28.01%
Apr/24,27.18%
May/24,26.39%
Jun/24,25.48%
Jul/24,24.61%
Aug/24,23.77%
Sep/24,22.84%
Oct/24,22.05%
Nov/24,21.12%
Dec/24,20.11%
Jan/25,19.12%
Feb/25,18.16%
Mar/25,17.10%
Apr/25,15.96%
May/25,14.86%
Jun/25,13.58%
Jul/25,12.42%
Aug/25,11.20%
Sep/25,9.92%
Oct/25,8.87%
Nov/25,7.65%
Dec/25,6.49%
Jan/26,5.49%
Feb/26,4.28%
Mar/26,3.19%
Apr/26,2.12%
May/26,1%
Jun/26,0%
