UF,Residencial unifamiliar,Residencial multifamiliar,Projeto de interesse social,Comercial salas e lojas,Galpão industrial
AC,7.43%,9.61%,4.69%,13.33%,4.52%
AL,6.11%,8.12%,3.98%,11.35%,3.82%
AM,7.43%,9.61%,4.69%,13.33%,4.52%
AP,7.48%,9.41%,4.88%,12.93%,4.38%
BA,5.53%,7.46%,3.73%,10.31%,3.62%
CE,5.72%,7.69%,3.70%,10.69%,3.44%
DF,5.24%,7.06%,3.53%,9.62%,3.43%
ES,5.15%,6.85%,3.33%,9.45%,3.26%
GO,5.79%,7.62%,3.88%,10.27%,3.60%
MA,6.94%,8.73%,4.18%,12.06%,4.07%
MG,4.68%,6.22%,3.15%,8.66%,3.05%
MS,6.74%,8.74%,4.34%,12.20%,4.28%
MT,6.22%,8.01%,4.02%,10.96%,3.89%
PA,7.58%,9.77%,4.91%,13.48%,4.45%
PB,6.32%,8.58%,4.12%,11.81%,3.81%
PE,5.12%,6.89%,3.51%,9.74%,3.42%
PI,5.33%,7.16%,3.53%,10.00%,3.30%
PR,4.91%,6.50%,3.18%,8.78%,3.08%
RJ,4.94%,6.52%,3.20%,9.02%,3.08%
RN,5.96%,7.62%,4.01%,10.41%,3.63%
RO,6.22%,8.01%,4.02%,10.96%,3.89%
RR,7.43%,9.61%,4.69%,13.33%,4.52%
RS,5.01%,6.54%,3.25%,8.77%,3.23%
SC,4.79%,6.19%,2.93%,8.36%,2.87%
SE,6.97%,9.05%,4.34%,12.50%,4.18%
SP,4.90%,6.35%,3.15%,8.69%,2.96%
TO,5.33%,7.16%,3.53%,10.00%,3.30%
