Mês/Ano,UF,Casa popular,Comercial salas e lojas,Conjunto habitacional popular,Edifício de Garagens,Galpão industrial,Residencial multifamiliar,Residencial unifamiliar
Sep/26,AC,2'143.31,3'970.60,2'143.31,3'970.60,1'835.61,3'585.47,4'242.10
Sep/26,AL,1'362.40,2'466.05,1'362.40,2'466.05,1'151.86,2'204.66,2'558.21
Sep/26,AP,1'902.20,3'386.00,1'902.20,3'386.00,1'609.56,2'982.56,3'376.99
Sep/26,AM,2'143.31,3'970.60,2'143.31,3'970.60,1'835.61,3'585.47,4'242.10
Sep/26,BA,1'487.76,2'642.31,1'487.76,2'642.31,1'198.83,2'307.07,2'752.71
Sep/26,CE,1'695.74,2'845.05,1'695.74,2'845.05,1'347.80,2'499.51,2'878.33
Sep/26,DF,1'588.55,2'879.66,1'588.55,2'879.66,1'287.94,2'516.31,2'903.96
Sep/26,ES,1'916.54,3'226.46,1'916.54,3'226.46,1'462.06,2'895.38,3'403.21
Sep/26,GO,1'518.21,2'704.95,1'518.21,2'704.95,1'264.09,2'376.01,2'845.90
Sep/26,MA,1'312.57,2'294.07,1'312.57,2'294.07,1'094.67,2'246.52,2'348.61
Sep/26,MT,2'222.33,3'957.52,2'222.33,3'957.52,1'740.33,3'482.69,4'007.38
Sep/26,MS,1'292.60,2'345.43,1'292.60,2'345.43,1'057.28,1'887.01,2'252.88
Sep/26,MG,1'725.92,2'991.56,1'725.92,2'991.56,1'316.03,2'664.40,3'071.19
Sep/26,PA,1'655.36,2'869.22,1'655.36,2'869.22,1'356.84,2'548.39,2'917.27
Sep/26,PB,1'135.38,2'089.85,1'135.38,2'089.85,960.51,1'859.16,2'097.99
Sep/26,PR,1'827.31,3'253.13,1'827.31,3'253.13,1'458.10,2'844.92,3'340.01
Sep/26,PE,1'553.08,2'656.82,1'553.08,2'656.82,1'215.84,2'341.09,2'799.33
Sep/26,PI,1'312.57,2'294.07,1'312.57,2'294.07,1'094.67,2'025.47,2'348.61
Sep/26,RJ,1'731.76,3'036.43,1'731.76,3'036.43,1'378.73,2'669.62,3'101.08
Sep/26,RN,1'530.91,2'532.87,1'530.91,2'532.87,1'217.66,2'276.11,2'651.16
Sep/26,RS,1'854.69,3'639.91,1'854.69,3'639.91,1'412.37,3'069.41,3'467.09
Sep/26,RO,1'739.04,3'044.81,1'739.04,3'044.81,1'357.59,2'692.13,2'958.50
Sep/26,RR,1'913.40,3'595.77,1'913.40,3'595.77,1'723.59,3'156.13,3'682.39
Sep/26,SC,1'994.92,3'410.76,1'994.92,3'410.76,1'577.81,2'968.24,3'498.08
Sep/26,SP,1'517.13,2'685.96,1'517.13,2'685.96,1'265.41,2'359.48,2'705.27
Sep/26,SE,1'396.57,2'585.44,1'396.57,2'585.44,1'188.74,2'308.47,2'548.48
Sep/26,TO,1'518.21,2'704.95,1'518.21,2'704.95,1'264.09,2'376.01,2'845.90
